Time,Pure Signal,Noisy Signal,Kalman Filter,Complementary Filter,Hybrid Filter,Moving Average Filter
1.340000,-0.904827,-0.682404,0.103266,-0.175310,0.019694,-0.709931
1.345000,-0.929776,-0.646525,0.095738,-0.198871,0.007355,-0.721892
1.350000,-0.951057,-0.816950,0.086576,-0.229775,-0.008329,-0.814059
1.355000,-0.968583,-0.461396,0.081076,-0.241356,-0.015654,-0.829032
1.360000,-0.982287,-1.202799,0.068191,-0.289428,-0.039094,-0.852021
1.365000,-0.992115,-1.040099,0.057071,-0.326962,-0.058139,-0.893847
1.370000,-0.998027,-0.953054,0.046938,-0.358266,-0.074624,-0.911442
1.375000,-1.000000,-0.843324,0.038008,-0.382519,-0.088150,-0.999658
1.380000,-0.998027,-0.939306,0.028207,-0.410358,-0.103363,-0.930125
1.385000,-0.992115,-0.940117,0.018497,-0.436846,-0.118106,-0.974188
1.390000,-0.982287,-1.078906,0.007495,-0.468949,-0.135438,-0.996199
1.395000,-0.968583,-0.716073,0.000242,-0.481305,-0.144223,-0.999881
1.400000,-0.951057,-1.348538,-0.013277,-0.524667,-0.166694,-0.970435
1.405000,-0.929776,-1.107131,-0.024239,-0.553790,-0.183104,-0.985310
1.410000,-0.904827,-0.869096,-0.032704,-0.569556,-0.193760,-0.956336
1.415000,-0.876307,-0.733187,-0.039722,-0.577737,-0.201126,-0.973868
1.420000,-0.844328,-1.044240,-0.049784,-0.601062,-0.215168,-0.820039
1.425000,-0.809017,-0.876087,-0.058060,-0.614814,-0.225086,-0.819335
1.430000,-0.770513,-0.838795,-0.065879,-0.626013,-0.233919,-0.746628
1.435000,-0.728969,-0.271735,-0.067940,-0.608299,-0.230048,-0.685298
1.440000,-0.684547,-1.102203,-0.078295,-0.632994,-0.244705,-0.564822
1.445000,-0.637424,-0.360150,-0.081117,-0.619352,-0.242587,-0.491705
1.450000,-0.587785,-0.303876,-0.083347,-0.603578,-0.239416,-0.395667
1.455000,-0.535827,-0.200906,-0.084523,-0.583444,-0.234200,-0.384387
1.460000,-0.481754,-0.364269,-0.087323,-0.572486,-0.232872,-0.288259
1.465000,-0.425779,-0.166532,-0.088115,-0.552188,-0.227337,-0.266021
1.470000,-0.368125,-0.192775,-0.089162,-0.534217,-0.222679,-0.160107
1.475000,-0.309017,-0.429308,-0.092565,-0.528972,-0.223487,-0.121663
1.480000,-0.248690,-0.204484,-0.093685,-0.512747,-0.219403,-0.121795
1.485000,-0.187381,0.437525,-0.088372,-0.465234,-0.201430,-0.023007
1.490000,-0.125333,0.068199,-0.086806,-0.438562,-0.192333,0.003161
1.495000,-0.062791,-0.365186,-0.089590,-0.434893,-0.193181,0.052552
1.500000,-0.000000,0.524980,-0.083445,-0.386900,-0.174481,0.121257
1.505000,0.062791,-0.009599,-0.082706,-0.368035,-0.168305,0.032255
1.510000,0.125333,-0.083573,-0.082715,-0.353812,-0.164044,0.169908
1.515000,0.187381,0.276455,-0.079125,-0.322298,-0.152077,0.333216
1.520000,0.248690,-0.185488,-0.080188,-0.315458,-0.150769,0.352960
1.525000,0.309017,1.031765,-0.069075,-0.248097,-0.122781,0.452103
1.530000,0.368125,0.777971,-0.060610,-0.196793,-0.101465,0.560431
